abstract,author,n_cited,n_reference,paper,title,year
"We present a theoretical investigation of the lateral shift of an infrared light beam reflected from a magnetic film deposited on a non-magnetic dielectric substrate, taking into account the linear magneto-electric interaction in the magnetic film. We use the stationary phase method to evaluate the lateral shift. It is shown that the magneto-electric coupling leads to a six-fold enhancement of the lateral shift amplitude of a p-(s-) polarized incident beam reflected into a s-( p-) polarized beam. A reversal of the magnetization in the film leads to a nonreciprocal sign change of the lateral shift.","Dadoenkova, YS; Bentivegna, FFL; Dadoenkova, NN; Petrov, RV; Lyubchanskii, IL; Bichurin, MI",3,20,"3RD INTERNATIONAL SCHOOL AND CONFERENCE ON OPTOELECTRONICS, PHOTONICS, ENGINEERING AND NANOSTRUCTURES (SAINT PETERSBURG OPEN 2016)",Influence of the linear magneto-electric effect on the lateral shift of light reflected from a magneto-electric film,2016
We analyse and compare the effects of the spatial dispersion and structural anisotropy on the spectrum of a metamaterial slab. Dielectric function of the slab we describe within Drude-Lorentz approximation. Anisotropy is of the slab is introduced through the anisotropy of plasma frequencies corresponding to the different component of the permittivity tensor. Spatial dispersion is considered within hydrodynamical approximation which is suitable for a wide range of spatial dispersive systems.,"Koshelev, KL; Bogdanov, AA",0,13,2016 PROGRESS IN ELECTROMAGNETICS RESEARCH SYMPOSIUM (PIERS),Nonlocality in Anisotropic Optical Metamaterials,2016
"We simulated and analyzed Goos-Hanchen (GH) shifts of 633 nm polarized light through a two-prism structure, consisting of a right triangle prism and an isosceles triangle prism with Kretschmann-Raether configuration, by comparing the results from COMSOL Multiphysics (CM) simulation software with that of a stationary-phase analysis (SPA). For this two-prism structure, using a gold film that of thickness 45 nm, the maximum positive GH shift, obtained using SPA at the resonance angle of 44.1 degrees, was 354 mu m. Using CM at an incident angle of 43.8 degrees, we found the maximum positive GH shift of 9.45 mu m. The results obtained using CM are in agreement with those obtained by the SPA around the resonance angle, although the enhancement effect from CM is much less than that of SPA. This is because SPA depends on the differentiation of the phase shift with respect to the incident angle, while a drastic phase shift occurs at the resonance angle. These results are useful for designing high-sensitivity SPR sensors based on GH shift measurement and for application in waveguide-type SPR devices, with sizes in the order of micro millimeter.","Zhang, WJ; Zhang, ZW; Yang, P; Zhu, X; Dai, YF",0,16,OPTICAL MEASUREMENT TECHNOLOGY AND INSTRUMENTATION,Goos-Hanchen shifts at a resonance angle of a two-prism structure using COMSOL Multiphysics,2016
"We investigate theoretically the Goos-Hanchen shift of a Gaussian light beam reflected from a magnetophotonic heterostucture consisting of an electrooptic film, a magneto-electric film, and a nonmagnetic dielectric substrate. We show that the magneto-electric coupling increases up to several times the amplitude of the Goos-Hanchen shift of a p-(s-) polarized incident beam reflected into a s-(p-) polarized beam. Tuning of the magnetization in the magnetic film leads to a nonreciprocal sign change of the lateral shift, and tuning of the shift amplitude can be achieved through a judicious choice of the magnitude and direction of an external dc electric field applied to the system.","Dadoenkova, YS; Bentivegna, FFL; Dadoenkova, NN; Lyubchanskii, IL; Petrov, RV; Bichurin, MI",0,20,PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON DAYS ON DIFFRACTION 2016 (DD),Electric and magnetic tuning of the Goos-Hanchen shift of a light beam upon reflection from a magneto-electric heterostructure,2016
"Asymmetric, low-loss, Photonic Crystal mirrors exhibit negative Goos-Hanchen shift up to -16.2 mu m at 1532 nm wavelength. The shift is a strong function of wavelength, polarization and incident angle.","Wong, YP; Xiao, XR; Solgaard, O",0,12,2016 CONFERENCE ON LASERS AND ELECTRO-OPTICS (CLEO),Direct Measurement of Negative Optical Goos-Hanchen Shift from Photonic Crystal,2016
"The conditions, under which on the interface of the non-magnetic dielectric and the optically less dense antiferromagnet in a constant external electric field changes the sign of the Goos-Hanchen shift, as well as it becomes possible its maximum increase, was defined. The vector of the electric field lies in the sagittal plane normal to the interface between the media and the easy magnetic axis.","Savchenko, AS",0,10,INTERNATIONAL CONFERENCE ON NANOMATERIALS: APPLICATION & PROPERTIES (NAP),The Change of Direction of Maximum Goos-Hanchen Shift on the Interface of Centrosymmetric Antiferromagnet in an External Constant Electric Field,2016
"We propose a scheme to manipulate the Goos-Hanchen shift of a terahertz wave reflected from the prism/magnetic dielectric. By adjusting the external applied magnetic field, the refractive index of the magnetic dielectric can be changed, so the Goos-Hanchen lateral shift is dynamically tuned. Numerical calculation results further indicate that the proposed configuration has the potential application for the integrated terahertz wave switch with the extinction ratio of 18.5dB at terahertz wave wireless communication frequency of 0.857THz.","He, MY; Li, JS",0,10,8TH INTERNATIONAL SYMPOSIUM ON ADVANCED OPTICAL MANUFACTURING AND TESTING TECHNOLOGIES: OPTOELECTRONIC MATERIALS AND DEVICES,Magnetically tunable giant Goos-Hanchen shift of reflected terahertz beam,2016
"Since its first observation in 1947, the Goos-Hanchen effect an electromagnetic wave phenomenon where a totally reflected beam with finite cross section undergoes a lateral displacement from its position predicted by geometric optics has been extensively investigated for various types of optical media such as dielectrics, metals and photonic crystals. Given their huge potential for guiding and sensing applications, the search for giant and tunable Goos-Hanchen shifts is still an open question in the field of optics and photonics. Metamaterials allow for unprecedented control over electromagnetic properties and thus provide an interesting platform in this quest for Goos-Hanchen shift enhancement. Over the last few years, the Goos-Hanchen effect has been investigated for specific metamaterial interfaces including graphene-on-dielectric surfaces, negative index materials and epsilon near -zero materials. In this contribution, we generalize the approach for the investigation of the Goos-Hanchen effect based on the geometric formalism of transformation optics. Although this metamaterial design methodology is generally applied to manipulate the propagation of light through continuous media, we show how it can also be used to describe the reflections arising at the interface between a vacuum region and a transformed region with a metamaterial implementation. Furthermore, we establish an analytical model that relates the magnitude of the Goos-Hanchen shift to the underlying geometry of the transformed medium. This model shows how the dependence of the Goos-Hanchen shift on geometric parameters can be used to dramatically enhance the size of the shift by an appropriate choice of permittivity and permeability tensors. Numerical simulations of a beam with spatial Gaussian profile incident upon metamaterial interfaces verify the model and firmly establish a novel route towards Goos-Hanchen shift engineering using transformation optics.","Lambrechts, L; Ginis, V; Danckaert, J; Tassin, P",0,49,METAMATERIALS X,Transformation Optics Approach for Goos-Hanchen Shift Enhancement at Metamaterial Interfaces,2016
"We examine the spectral characteristic of Goos-Hanchen (GH) effect in a plasmonic waveguide, and take into account the influence of thickness of gold, silica and water index on GH shift. The GH shift variation with incident light wavelength can be used to design wavelength selector in wavelength de-multiplexing technology. We also give the GH shift peak for different glucose water to explore an effective method to measure glucose concentration. The GH peaks show a periodic property, whose period is narrowed with the increase of silica thickness. A refractive index sensor based on spectral characteristic of GH effect can be realized in the proposed plasmonic waveguide. (C) 2015 Elsevier GmbH. All rights reserved.","Tang, TT",1,13,OPTIK,Spectral characteristic of Goos-Hanchen effect in a plasmonic waveguide,2016
"For a long time, it was believed there was no reason to include the geometrical phase in studying the propagation of gaussian optical beams through dielectric blocks. This can be justified by the fact that the first-order term in the Taylor expansion of this phase is responsible for the lateral shift of the optical beam which is also predicted by ray optics. From this point of view, the geometrical phase can be seen as a purely auxiliary concept. In this paper, we show how the second-order term in the Taylor expansion accounts for the symmetry breaking of the transversal spatial distribution and acts as an axial spreading modifier. These new effects clearly show the importance of the geometrical phase in describing the correct behavior of light. To test our theoretical predictions, we briefly discuss a possible experimental implementation.","Araujoa, MP; De Leo, S; Lima, M",2,37,JOURNAL OF MODERN OPTICS,Transversal symmetry breaking and axial spreading modification for gaussian optical beams,2016
"We discuss the lateral shift (LS) and the angular shift (AS) of a reflected Gaussian beam from the interface covered with a graphene sheet, which is modeled as an infinitesimally thin surface conductivity. In the two cases where the incident medium is optically rarer or denser than the refractive medium, the LS and AS are numerically analyzed for a TM-polarized beam by using the stationary-phase approach. It is found that both the LS and AS can be controlled by tuning graphene's chemical potential, the frequency or the angle of incidence of incident beam. In particular, when the incident medium is optically denser, since the total internal reflection takes place and the surface plasmon polaritons are excited, the larger AS can be achieved around the critical angle, the pseudo-Brewster angle or resonance angle. Also, a higher chemical potential can tune the directions of the LS (i.e., the positive or negative shifts). The results provide a way to tune flexibly the LS and AS by means of the graphene sheet. (C) 2015 Elsevier GmbH. All rights reserved.","Xu, GD; Cao, M; Liu, C; Sun, J; Pan, T",1,39,OPTIK,Tunable lateral and angular shifts of a reflected beam from a graphene-based structure,2016
"The Goos-Hanchen effect of light reflected from sandwich (three-layered) structures composed of a superconducting YBa2Cu3O7 film and two different dielectric films is investigated theoretically. It has been shown that optical anisotropy of YBa2Cu3O7 film, as well as its positions in the threelayer specimen, strongly effects on the lateral shift values. We have shown that, for all positions of the superconducting film in the three-layered structure, variation of temperature makes possible to control the values of the lateral shift of TE-polarized light at the incidence angles close to pseudo-Brewster angles, whereas for TM-polarized light the lateral shift is only significant at grazing incidence. (C) 2015 AIP Publishing LLC.","Dadoenkova, YS; Dadoenkova, NN; Lyubchanskii, IL; Lee, YP",7,47,JOURNAL OF APPLIED PHYSICS,Goos-Hanchen shift at the reflection of light from the complex structures composed of superconducting and dielectric layers,2015
"The Goos-Hanchen shift of p wave beams incident on a metal-nonlinear dielectric bilayer in the Kretschmann configuration is studied theoretically. The reflectance, the phase of the reflection coefficient and the Goos-Hanchen shift are calculated in a numerically precise manner by using the invariant imbedding method. The Goos-Hanchen shift has been found to be able to take both extremely large positive and negative values due to surface plasmon excitations and very strong bistability and unique hysteresis phenomena appear. In addition, several previous results on the intensity dependence of the Goos-Hanchen shift are pointed out to be erroneous.","Kim, K",0,7,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,Large enhancement of nonlinear Goos-Hanchen shifts and optical bistability due to surface plasmon excitations,2015
"Scientists have known for more than a century that light possesses both linear and angular momenta along the direction of propagation. However, only recent advances in optics have led to the notion of spinning electromagnetic fields capable of carrying angular momenta transverse to the direction of motion. Such fields enable numerous applications in nano-optics, biosensing and near-field microscopy, including three-dimensional control over atoms, molecules and nanostructures, and allowing for the realization of chiral nanophotonic interfaces and plasmonic devices. Here, we report on recent developments of optics with light carrying transverse spin. We present both the underlying principles and the latest achievements, and also highlight new capabilities and future applications emerging from this young yet already advanced field of research.","Aiello, A; Banzer, P; Neugebaueru, M; Leuchs, G",60,81,NATURE PHOTONICS,From transverse angular momentum to photonic wheels,2015
"Light carries both spin and orbital angular momentum. These dynamical properties are determined by the polarization and spatial degrees of freedom of light. Nano-optics, photonics and plasmonics tend to explore subwavelength scales and additional degrees of freedom of structured - that is, spatially inhomogeneous - optical fields. In such fields, spin and orbital properties become strongly coupled with each other. In this Review we cover the fundamental origins and important applications of the main spin-orbit interaction phenomena in optics. These include: spin-Hall effects in inhomogeneous media and at optical interfaces, spin-dependent effects in nonparaxial (focused or scattered) fields, spin-controlled shaping of light using anisotropic structured interfaces (metasurfaces) and robust spin-directional coupling via evanescent near fields. We show that spin-orbit interactions are inherent in all basic optical processes, and that they play a crucial role in modern optics.","Bliokh, KY; Rodriguez-Fortuno, FJ; Nori, F; Zayats, AV",211,142,NATURE PHOTONICS,Spin-orbit interactions of light,2015
"We present a theoretical analysis showing that layered topological insulators, for example, Bi2Se3 are optically hyperbolic materials in the range of terahertz (THz) frequencies. As such, these topological insulators possess deeply subdiffractional, highly directional collective modes: hyperbolic phonon polaritons. We predict that in thin crystals the dispersion of these modes is split into discrete subbands and is strongly influenced by electron surface states. If the surface states are doped, then hybrid collective modes result from coupling of the phonon polaritons with surface plasmons. The strength of the hybridization can be controlled by an external gate that varies the chemical potential of the surface states. We also show that the momentum dependence of the plasmon-phonon coupling leads to a polaritonic analog of the Goos-Hanchen effect. The directionality of the polaritonic rays and their tunable Goos-Hanchen shift is observable via THz nanoimaging.","Wu, JS; Basov, DN; Fogler, MM",9,69,PHYSICAL REVIEW B,Topological insulators are tunable waveguides for hyperbolic polaritons,2015
We present a theoretical study of the Goos-Hanchen and Imbert-Fedorov shifts for a fundamental Gaussian beam impinging on a surface coated with a single layer of graphene. We show that the graphene surface conductivity sigma(omega) is responsible for the appearance of a giant and negative spatial Goos-Hanchen shift. (C) 2015 Optical Society of America,"Grosche, S; Ornigotti, M; Szameit, A",13,44,OPTICS EXPRESS,Goos-Hanchen and Imbert-Fedorov shifts for Gaussian beams impinging on graphene-coated surfaces,2015
"The Goos-Hanchen shift of the reflected beam in a standing-wave coupled electromagnetically induced transparency medium is investigated. We adopt the three-level. system as a model of Rb-87 atomic media. Under the influence of two counterpropagating coupling fields, the incident beam is converted into a reflected one, with the Goos-Hanchen shift. We briefly discuss the rules for obtaining efficient reflection in such an atomic system, and carefully investigate the Goos-Hanchen shift and its dependence on the beam width of the incident field. Both the cases with and without Doppler broadening are considered. In order to provide a clearer physical picture on the large shift that could be realized, the concept of penetration depth is used to analyze the shift phenomeno-logically. (C) 2015 Optical Society of America","Zhang, XJ; Wang, HH; Wang, CL; Xu, Y; Liang, ZP; Fan, CB; Liu, CZ; Gao, JY",5,49,JOURNAL OF THE OPTICAL SOCIETY OF AMERICA B-OPTICAL PHYSICS,Goos-Hanchen shift of the reflected beam in a standing-wave coupled electromagnetically induced transparency system,2015
"The Goos-Hanchen (GH) effect induced by the total reflection of an incident beam of P-wave from a low-impedance medium to a high-impedance medium at near- and post-critical angles was theoretically simulated and discussed. For both PP- and PSV-waves, there may be large GH shifts (GHS) and penetration depths (PD) for both lossless and attenuating media. As the Q-factor increases, or the frequency of the seismic wave decreases, the GH effect is increased. However, in attenuating media, there may be non-zero GHS and PD at all non-zero incident angles, not just post-critical angles. GHS may be either positive or negative, while PD is positive only. Compared to the Q-factor in the incident medium, the Q-factor in the transmission medium may play a more dominant role in the determination of reflection coefficients, GHS, and PD. The GH-induced normal moveout (NMO) discrepancy of the PSV-wave may be larger than that of the PP-wave. Due to the GH effect, there may be an angle discrepancy (at fixed offset) between the GH-modified incident angle and the traditional incident angle. In addition, the GH effect at a given offset may produce two or three reflected waves, from different incident angles. These results suggest that, within their assumptions, the GH effect may lead to errors in NMO estimates and the vertical location of the reflector. Furthermore, there may be errors in offsets, incident angles, and reflection amplitudes, in the analyses of the amplitude variation with offset (AVO). These GH effects might be more important for seismic data at fixed offsets and shallow layers, and for sonic log data, which might fall into the post-critical angle regime. Therefore, there may be a necessity to take into account the GH effect in the interpretation of wide-angle reflection data in NMO and AVO analyses. (C) 2015 Elsevier B.V. All rights reserved.","Wang, ZY",1,63,JOURNAL OF APPLIED GEOPHYSICS,The influence of the Goos-Hanchen effect on seismic data processing and AVO in attenuating media,2015
"The Goos-Hanchen (GH) shift and the Imbert-Fedorov (IF) shift are optical phenomena which describe the longitudinal and transverse lateral shifts at the reflection interface, respectively. Here, we predict the GH and IF shifts in Weyl semimetals (WSMs)-a promising material harboring low energy Weyl fermions, a massless fermionic cousin of photons. Our results show that the GH shift in WSMs is valley independent, which is analogous to that discovered in a 2D relativistic material-graphene. However, the IF shift has never been explored in nonoptical systems, and here we show that it is valley dependent. Furthermore, we find that the IF shift actually originates from the topological effect of the system. Experimentally, the topological IF shift can be utilized to characterize the Weyl semimetals, design valleytronic devices of high efficiency, and measure the Berry curvature.","Jiang, QD; Jiang, H; Liu, HW; Sun, QF; Xie, XC",22,47,PHYSICAL REVIEW LETTERS,Topological Imbert-Fedorov Shift in Weyl Semimetals,2015
"Based on the evanescent waves theory, the formation condition and propagation mechanism of evanescent waves in one-dimensional periodic photonic crystal are studied. When the incident light travels through the periodic photonic crystal at a certain angle, the optical resonance will occur in the optically denser medium, and a unique photonic local feature will occur in photonic bandgap. Furthermore, the influences on transmission performance by the photonic crystal parameters are discussed respectively. The simulation results show that the structure mentioned above can achieve the performance of high transmission and high Q value, which can provide theoretical references for photonic crystal multi-channel filters. (C) 2015 Elsevier B.V. All rights reserved.","Chen, Y; Shi, J; Liu, T; Dong, J; Zhu, QG; Chen, WD",2,21,PHYSICS LETTERS A,Study on the propagation mechanism of evanescent waves in one-dimensional periodic photonic crystal,2015
"Theoretically, the Goos-Hanchen effect at the interface of a one-dimensional photonic crystal containing graphene monolayers has been investigated. It was shown that the lateral shift of the reflected beam can be remarkably enhanced when the phase matching conditions are satisfied for the excitation of the surface polaritons at the interface of the structure in the graphene induced photonic band gap. The effect of the optical properties of the graphene sheets on the enhancement of the Goos-Hanchen shift was investigated and it was shown that the beam displacement can be controlled by the tuning of the chemical potential of graphene. This may have potential applications in the optical communication systems. (C) 2015 Elsevier Ltd. All rights reserved.","Madani, A; Entezar, SR",4,31,SUPERLATTICES AND MICROSTRUCTURES,Tunable enhanced Goos-Hanchen shift in one-dimensional photonic crystals containing graphene monolayers,2015
"Based on the theory of Goos-Hanchen shift and its continuity near the critical angle, we introduce the concept of penetration depth below the critical angle, and obtain the general formula of reflectance using the gradient complex refractive index multilayered model. Compared with the fitting curve with Fresnel's Formula, our calculated results are more consistent with experimental results of Intralipid solution and the suspension of rutile TiO2 powder. Combining the change of penetration depth near the critical angle with our model, we also reveal the essence of a simple method used to obtain the non-surface complex refractive index of turbid media. (C) 2015 Optical Society of America","Sun, J; Wang, J; Ye, Q; Mei, JC; Zhou, WY; Zhang, CP; Tian, JG",0,14,OPTICS EXPRESS,Analysis of reflectance curve of turbid media and determination of the non-surface complex refractive index,2015
"We show the utility of the weak value amplification to observe the quantum interference between two close lying atomic coherent states in a post-selected atomic cat state, produced in a system of N identical two-level atoms weakly interacting with a single photon field. Through the observation of the negative parts of the Wigner distribution of the post-selected atomic cat state, we find that the post-selected atomic cat state becomes more nonclassical when the post-selected polarization state of the single photon field tends toward becoming orthogonal to its pre-selected state. We show that the small phase shift in the post-selected atomic cat state can be amplified via measuring the peak shift of its phase distribution when the post-selected state of the single photon field is nearly orthogonal to its pre-selected state. We find that the amplification factor of 15 [5] can be obtained for a sample of 10 [100] atoms. This effectively provides us with a method to discriminate between two close lying states on the Bloch sphere. We discuss possible experimental implementation of the scheme, and conclude with a discussion of the Fisher information.","Huang, SM; Agarwal, GS",4,62,NEW JOURNAL OF PHYSICS,Weak value amplification of atomic cat states,2015
It has been shown that an increase in the longitudinal displacement of a beam of D cent De (TE) waves even in the case of a single interface between transparent media is possible owing to the resonance excitation of an evanescent wave with the corresponding polarization if the energy flux through the interface is identically zero.,"Savchenko, AS; Tarasenko, AS; Tarasenko, SV; Shavrov, VG",2,30,JETP LETTERS,New mechanism of the enhancement of the Goos-Hanchen effect at an interface between transparent media,2015
"The behavior of the Goos-Hanchen (GH) shifts of the reflected and transmitted probe and signal pulses through a cavity containing four-level GaAs/AlGaAs multiple quantum wells with 15 periods of 17.5 nm GaAs wells and 15-nm Al0.3Ga0.7As barriers is theoretically discussed. The biexciton coherence set up by two coupling fields can induce the destructive interference to control the absorption and gain properties of probe field under appropriate conditions. It is realized that for the specific values of the intensities and the relative phase of applied fields, the simultaneous negative or positive GH shift in the transmitted and reflected light beam can be obtained via amplification in a probe light. It is found that by adjusting the controllable parameters, the GH shifts can be switched between the large positive and negative values in the medium. Moreover, the effect of exciton spin relaxation on the GH shift has also been discussed. We find that the exciton spin relaxation can manipulate the behavior of GH shift in the reflected and transmitted probe beam through the cavity. We show that by controlling the incident angles of probe beam and under certain conditions, the GH shifts in the reflected and transmitted probe beams can become either negative or positive corresponding to the superluminal or subluminal light propagation. Our proposed model may supply a new prospect in technological applications for the light amplification in optical sensors working on quantum coherence impacts in solid-state systems. (C) 2015 Elsevier Ltd. All rights reserved.","Asadpour, SH; Nasehi, R; Soleimani, HR; Mahmoudi, M",6,78,SUPERLATTICES AND MICROSTRUCTURES,Phase control of Goos-Hanchen shift via biexciton coherence in a multiple quantum well,2015
"We study the thermo-optic Goos-Hanchen (TOGH) effect in a prism-waveguide coupling structure with silicon-on-insulator waveguide. Stationary-phase method is utilized to calculate the TOGH shift. When the waveguide is regarded as a two-dimensional planar waveguide, a nonlinear relation between GH shift and temperature is obtained. Based on the noticeable TOGH effect, a sensitive temperature modulator or sensor can be realized. As the waveguide width is limited, the proposed structure can be regarded as a three-dimensional rectangular waveguide. We explore the GH shift and TOGH effect for different modes propagating in rectangular waveguide which show different linear relations between GH shift and temperature, which can be used to design mode-selective device based on TO effect.","Tang, TT; Luo, L; Liu, WL; He, XJ; Zhang, YF",8,12,APPLIED PHYSICS B-LASERS AND OPTICS,Thermo-optic Goos-Hanchen effect in silicon-on-insulator waveguide,2015
"We study propagation of the Gaussian beam of spin waves and its reflection from the edge of thin yttriumiron- garnet film with in-plane magnetization perpendicular to this edge. We have performed micromagnetic simulations supported by analytical calculations to investigate the influence of the surface magnetic anisotropy present at the film edge on the reflection, especially in the context of the Goos-Hanchen effect. We have shown the appearance of a negative lateral shift between reflected and incident spin wave beams' spots. This shift is particularly sensitive to the surface magnetic anisotropy value and is a result of the Goos-Hanchen shift which is sensitive to the magnitude of the anisotropy and of the bending of the spin wave beam. We have demonstrated that the demagnetizing field provided a graded increase of the refractive index for spin waves, which is responsible for the bending.","Gruszecki, P; Dadoenkova, YS; Dadoenkova, NN; Lyubchanskii, IL; Romero-Vivas, J; Guslienko, KY; Krawczyk, M",15,61,PHYSICAL REVIEW B,Influence of magnetic surface anisotropy on spin wave reflection from the edge of ferromagnetic film,2015
"In this paper, we proposed a cavity containing colloidal ferrofluids to enhance the Goos-Hanchen (GH) shifts of reflected and transmitted light beams. By optimizing the parameters of the cavity, the resonance inside the cavity was strengthened, and we obtained huge GH shifts. Magnetocontrolled negative GH shifts have been also analyzed. We found that a suitable cavity with optimized structural parameters can enhance the effect of the GH shifts on ferrofluids, which have an extremely small volume parameter and a small shell thickness parameter. Numerical simulations confirm the theoretical analysis. This paper has considerable potential for applications such as magnetic field sensors and optical switches.","Luo, CY; Dai, XY; Xiang, YJ; Wen, SC",8,31,IEEE PHOTONICS JOURNAL,Enhanced and Tunable Goos-Hanchen Shift in a Cavity Containing Colloidal Ferrofluids,2015
"We investigate the reflected Goos-Hanchen shift of a probe light beam incident from the vacuum upon a metal-insulator-metal microcavity. The cavity is filled with three-level electromagnetically induced transparency atomic gas manipulated by a coherent coupling light field. It is found that the spatial distribution of the coupling field in the cavity structure should be taken into consideration, and as a consequence, the microcavity for the probe light is effectively an optically inhomogeneous cavity. This inhomogeneity can have a huge effect on the lateral shift of the probe light when the order of magnitude of the value of the real or imaginary part of the susceptibility of the probe light is not very small (about 10(-4)) and can lead to some detailed features that are absent in the homogeneous case. (C) 2015 Optical Society of America","Jing, QL; Du, CG; Lei, FC; Gao, M; Gao, JC",1,24,JOURNAL OF THE OPTICAL SOCIETY OF AMERICA B-OPTICAL PHYSICS,Coherent control of the Goos-Hanchen shift via an inhomogeneous cavity,2015
"In the spin Hall effect of light (SHEL) with an incident linear polarization, the left circularly polarized (LCP) and the right circularly polarized (RCP) spin components are transversely shifted to opposite sides of the incident plane. We find that each spin component of the reflected or the refracted light is actually the coherent superposition of a pair with the same handedness. The two parts in a pair are generated by both the incident LCP and RCP components, respectively, and have different transverse shifts. Their weighted shifts lead to the overall displacement of the corresponding spin component. This perspective can successfully elucidate the dependence of the SHEL spin separations on the angle of polarization of the incident electric field.","Ren, JL; Wang, B; Pan, MM; Xiao, YF; Gong, QH; Li, Y",3,32,PHYSICAL REVIEW A,Spin separations in the spin Hall effect of light,2015
"By considering an attenuated total reflection structure containing graphene-based hyperbolic metamaterial, we investigate the effect of surface plasmon (SP) resonance on Goos-Hanchen (GH) and Imbert-Fedorov (IF) spatial and angular shifts in the reflection of terahertz wave. It can be found that the spatial and angular shifts of the p-wave beam are giant near the plasmon resonance: the spatial GH shift can be two orders of magnitude greater than the wavelength, the angular GH shift might be several hundred or even thousands greater than the angular spread, and the IF shift may be greater than the largest values reported ever. We also find that the shifts can be controlled by manipulating the voltage applied to the graphene via exterior gate, and a large modulation bandwidth (about dozens of THz) can be achieved. Based on the giant and tunable shifts, an alternative SP sensing scheme can be provided and the sensitivity of SP sensors can be improved significantly.","Cheng, M; Fu, P; Weng, MH; Chen, XY; Zeng, XH; Feng, SY; Chen, R",6,40,JOURNAL OF PHYSICS D-APPLIED PHYSICS,Spatial and angular shifts of terahertz wave for the graphene metamaterial structure,2015
"Influence of PT symmetry on the Goos-Hanchen (GH) shift in the reflected light is presented for an ensemble of atomic medium in a cavity, in the configuration of four-level N-type (Rb-87 atoms) systems driving by two copropagating strong laser fields and a weak probe field. The atom-field interaction follows the realization of PT symmetry by adjusting the coupling field detunings [J. Shenget al., Phys. Rev. A 88, 041803(R) (2013)]. A giant enhancement for the GH shift in the reflected light is revealed when the PT-symmetry condition is satisfied.","Ziauddin; Chuang, YL; Lee, RK",2,42,PHYSICAL REVIEW A,Giant Goos-Hanchen shift using PT symmetry,2015
"Excitation of surface plasmon polaritons (SPPs) propagating at the interface between a dielectric medium and a silver thin film by a focused Gaussian beam in a classical Kretschmann prism setup is studied theoretically. We find that the center of the transmitted Gaussian evanescent wave has a giant lateral shift relative to the incident Gaussian beam center for a wide range of incident angle and Gaussian beam wavelength to excite SPPs, which can be more than two orders of magnitude larger than the silver film thickness. The phenomenon is closely related with the conventional Goos-Hanchen effect for total internal reflection of light beam, and it is called the transmission Goos-Hanchen shift. We find that this lateral shift depends heavily on the excitation wavelength, incident angle, and the silver layer thickness. Finite-difference time-domain simulations show that this transmission Goos-Hanchen shift is induced by a unique dynamical process of excitation, transport, and leakage of SPPs.","Yang, Y; Liu, J; Li, ZY",1,37,CHINESE PHYSICS B,Giant transmission Goos-Hanchen shift in surface plasmon polaritons excitation and its physical origin,2015
"Tunneling-induced quantum interference experienced by an incident probe in the asymmetric double AlGaAs/GaAs quantum well (QW) structure can be modulated by means of an external control light beam and the tunable coupling strengths of resonant tunneling. These phenomena can be exploited to devise a novel intracavity medium to control Goos-Hanchen (GH) shifts of a mid-infrared probe beam incident on a cavity. For a suitably designed QW structure, our results show that maximum negative shift of 2.62 mm and positive shift of 0.56 mm are achievable for GH shifts in the reflected and transmitted light. (C) 2015 Optical Society of America","Yang, WX; Liu, SP; Zhu, ZH; Ziauddin; Lee, RK",26,28,OPTICS LETTERS,Tunneling-induced giant Goos-Hanchen shift in quantum wells,2015
"The photonic band gaps and the corresponding tunneling modes in a symmetric heterostructure containing negative-zero-positive index metamaterials (NZPIM) are studied systematically. The zero- gap is found to be insensitive to incident angle in contrast to the Bragg gap. Due to the linear dispersion of NZPIM, there exists an asymmetric Dirac point band gap which is always absent of the defect tunneling mode. The tunneling modes inside the gaps and the corresponding giant positive and negative Goos-Hanchen shifts are further investigated. Our results may have potential application in integrated optics and optical devices and also suggest analogous phenomena of valence electron in graphene superlattice.","Wang, XL; Shen, M; Wang, HS",3,47,APPLIED PHYSICS B-LASERS AND OPTICS,Tunneling modes and giant Goos-Hanchen effect of a symmetric heterostructure containing negative-zero-positive index metamaterials,2015
During the past two decades there has been increased interest in the optical excitation of surface plasmon resonance (SPR) at a metal - dielectric interface. This is due in large part to its potential applications in such areas as medical diagnostics and pharmaceutical research. Also occurring during this time has been a growing recognition by the quantum physics community that weak value amplification (WVA) can serve as a valuable metrological research resource. Recently WVA has been used to amplify very small optical Goos-Hanchen (GH) shifts in glass and it has also been shown that SPR can greatly enhance optical GH shifts at the metal/air interface in Kretschmann-Raether (KR) devices. This paper demonstrates experimentally the WVA of an off-resonance GH shift in a KR device and explains why WVA of sufficiently SPR enhanced optical GH shifts cannot be achieved. (C) 2015 Optical Society of America,"Parks, AD; Spence, SE",1,13,APPLIED OPTICS,Weak value amplification of an off-resonance Goos-Hanchen shift in a Kretschmann-Raether surface plasmon resonance device,2015
"In this work we investigate the role of the beam astigmatism in the Goos-Hanchen and Imbert-Fedorov shift. As a case study, we consider a Gaussian beam focused by an astigmatic lens and we calculate explicitly the corrections to the standard formulas for beam shifts due to the astigmatism induced by the lens. Our results show that the different focusing in the longitudinal and transverse direction introduced by an astigmatic lens may enhance the angular part of the shift.","Ornigotti, M; Aiello, A",5,34,JOURNAL OF OPTICS,Goos-Hanchen and Imbert-Fedorov shifts for astigmatic Gaussian beams,2015
